link_id,road_name,lon,lat,road_level,road_width
11,四平路,121.49013402,31.26263571,4,20
11,四平路,121.49021062,31.26281527,4,20
11,四平路,121.49048311,31.26342636,4,20
11,四平路,121.49058272,31.26363874,4,20
11,四平路,121.49078078,31.26406335,4,20
11,四平路,121.49082729,31.264183899999995,4,20
11,四平路,121.49083772,31.26421093,4,20
11,四平路,121.49084932,31.26423635,4,20
11,四平路,121.49095893,31.264476450000004,4,20
11,四平路,121.49104337,31.26468248,4,20
11,四平路,121.49122212,31.26510711,4,20
11,四平路,121.49126856,31.26523187,4,20
11,四平路,121.49135985,31.26541873,4,20
11,四平路,121.49150397,31.2656623,4,20
11,四平路,121.49154689,31.26574541,4,20
11,四平路,121.49158617,31.265808,4,20
11,四平路,121.49170318,31.26598588,4,20
11,四平路,121.49176394,31.266070319999997,4,20
11,四平路,121.49195255,31.26629578,4,20
11,四平路,121.49209814,31.266441369999995,4,20
11,四平路,121.49214116,31.26648439,4,20
11,四平路,121.49228489,31.26661038,4,20
11,四平路,121.49249275,31.26679068,4,20
11,四平路,121.49271201,31.26698685,4,20
11,四平路,121.4929046,31.26714116,4,20
11,四平路,121.49294168,31.26717874,4,20
11,四平路,121.49351346,31.267683259999995,4,20
11,四平路,121.49374267,31.26788899,4,20
11,四平路,121.49414822,31.26823754,4,20
11,四平路,121.49456016999999,31.26859983,4,20
11,四平路,121.49471233000001,31.26873037,4,20
11,四平路,121.49525246,31.269230619999995,4,20
11,四平路,121.49537131,31.26934257,4,20
11,四平路,121.4956814,31.269627899999996,4,20
11,四平路,121.49574624,31.2696859,4,20
11,四平路,121.49579143,31.26972633,4,20
11,四平路,121.49635527,31.27023317,4,20
11,四平路,121.49657005999998,31.27041387,4,20
12,四平路,121.49635527,31.27023317,4,20
12,四平路,121.49657005999998,31.27041387,4,20
13,四平路,121.48998786,31.26229431,4,20
13,四平路,121.49013402,31.26263571,4,20
14,四平路,121.49836368,31.27201425,4,20
14,四平路,121.49816823,31.27183521,4,20
14,四平路,121.49806667,31.27174218,4,20
14,四平路,121.49783036,31.27151888,4,20
14,四平路,121.49761137,31.27132435,4,20
14,四平路,121.49710441000002,31.27088519,4,20
14,四平路,121.49683105000001,31.2706424,4,20
14,四平路,121.4968199,31.27063376,4,20
14,四平路,121.49657005999998,31.27041387,4,20
15,四平路,121.50145998,31.27473236,4,20
15,四平路,121.50098451,31.27430603,4,20
15,四平路,121.50061579,31.27396802,4,20
15,四平路,121.50007234000002,31.2734791,4,20
15,四平路,121.49914729,31.27265742,4,20
15,四平路,121.49906979,31.272588829999997,4,20
15,四平路,121.49880696,31.27235622,4,20
15,四平路,121.49874926,31.272305590000002,4,20
15,四平路,121.49856336,31.272142459999998,4,20
15,四平路,121.49852781000001,31.27211376,4,20
15,四平路,121.4984337,31.27203776,4,20
15,四平路,121.49836368,31.27201425,4,20
15,四平路,121.49816823,31.27183521,4,20
16,四平路,121.49954996000001,31.27312771,4,20
16,四平路,121.49895453000002,31.27258951,4,20
16,四平路,121.49838969,31.27207929,4,20
16,四平路,121.49836368,31.27201425,4,20
16,四平路,121.49816823,31.27183521,4,20
17,四平路,121.50145998,31.27473236,4,20
17,四平路,121.50098451,31.27430603,4,20
18,四平路,121.4968199,31.27063376,4,20
18,四平路,121.49657005999998,31.27041387,4,20
19,四平路,121.49954996000001,31.27312771,4,20
19,四平路,121.49895453000002,31.27258951,4,20
19,四平路,121.49838969,31.27207929,4,20
19,四平路,121.49836368,31.27201425,4,20
20,四平路,121.49836368,31.27201425,4,20
20,四平路,121.49816823,31.27183521,4,20
21,四平路,121.50145998,31.27473236,4,20
21,四平路,121.50153699,31.27479246,4,20
22,四平路,121.50139906,31.27490897,4,20
22,四平路,121.50133614,31.27484714,4,20
23,四平路,121.48858204000001,31.25810771,4,20
23,四平路,121.48851534,31.257834869999996,4,20
23,四平路,121.48842844,31.25757416,4,20
23,四平路,121.48824559,31.25715275,4,20
23,四平路,121.48805115,31.25675399,4,20
23,四平路,121.48787008,31.25638438,4,20
23,四平路,121.48743612,31.25549857,4,20
23,四平路,121.48735458,31.255333209999996,4,20
23,四平路,121.48691167,31.254435010000005,4,20
23,四平路,121.48686619,31.25434053,4,20
23,四平路,121.48675906,31.25414006,4,20
