link_id,road_name,lon,lat,road_level,road_width,in_link_id,in_road_index
5,江湾城路,121.52267979,31.33989445,4,12,7,98
5,江湾城路,121.52261074,31.33976593,4,12,8,99
5,江湾城路,121.5225038,31.33952976,4,12,9,100
5,江湾城路,121.52241317,31.3392912,4,12,10,101
5,江湾城路,121.52235478,31.33905336,4,12,11,102
5,江湾城路,121.52211506,31.33805858,4,12,13,103
5,江湾城路,121.521971,31.33743705,4,12,14,104
5,江湾城路,121.52176319,31.33655561,4,12,15,105
5,江湾城路,121.52164082,31.33605664,4,12,16,106
5,江湾城路,121.52157347,31.335811940000003,4,12,17,107
5,江湾城路,121.52152821,31.335687380000003,4,12,18,108
5,江湾城路,121.52147307,31.33555724,4,12,19,109
5,江湾城路,121.52135165,31.33532587,4,12,20,110
5,江湾城路,121.52128031000001,31.335206079999995,4,12,21,111
5,江湾城路,121.52122014,31.33512012,4,12,22,112
5,江湾城路,121.52115420999999,31.335038,4,12,23,113
5,江湾城路,121.52092416,31.33474384,4,12,25,114
5,江湾城路,121.52077605,31.33456877,4,12,26,115
5,江湾城路,121.52050751000002,31.33428009,4,12,27,116
5,江湾城路,121.52035718,31.33413697,4,12,28,117
5,江湾城路,121.52008696,31.333909409999997,4,12,30,118
5,江湾城路,121.51984288,31.33372719,4,12,31,119
5,江湾城路,121.51960647,31.33355504,4,12,32,120
5,江湾城路,121.51933051,31.33334635,4,12,33,121
5,江湾城路,121.51910454,31.33317382,4,12,34,122
5,江湾城路,121.51895941,31.33305853,4,12,35,123
5,江湾城路,121.51885172,31.33296549,4,12,36,124
5,江湾城路,121.5186773,31.33281304,4,12,37,125
5,江湾城路,121.51846761,31.33261176,4,12,38,126
5,江湾城路,121.51817176,31.33231165,4,12,39,127
5,江湾城路,121.51793626,31.33204499,4,12,41,128
5,江湾城路,121.51781638,31.33189682,4,12,42,129
5,江湾城路,121.51758248,31.33155488,4,12,43,130
5,江湾城路,121.51744034999999,31.33133908,4,12,44,131
5,江湾城路,121.51731169,31.33113582,4,12,46,132
5,江湾城路,121.51722429,31.33098238,4,12,47,133
5,江湾城路,121.51714236,31.33082796,4,12,48,134
5,江湾城路,121.51708824,31.33072219,4,12,49,135
5,江湾城路,121.51695765,31.330436679999995,4,12,50,136
5,江湾城路,121.51686089,31.33019883,4,12,51,137
5,江湾城路,121.51680284,31.33003689,4,12,52,138
5,江湾城路,121.51676896,31.329914309999996,4,12,53,139
5,江湾城路,121.51668592,31.32957709,4,12,54,140
5,江湾城路,121.5166046,31.329239989999998,4,12,55,141
5,江湾城路,121.51653508,31.32888496,4,12,56,142
5,江湾城路,121.51650479,31.32875387,4,12,58,143
5,江湾城路,121.51645464,31.32851751,4,12,60,144
5,江湾城路,121.51644074,31.32835464,4,12,61,145
5,江湾城路,121.51642964,31.3281333,4,12,62,146
5,江湾城路,121.51641194,31.327780140000005,4,12,64,147
5,江湾城路,121.51637966,31.32696331,4,12,66,148
5,江湾城路,121.51636997999998,31.32675551,4,12,67,149
5,江湾城路,121.51634838,31.32637763,4,12,69,150
5,江湾城路,121.51633597000001,31.32614177,4,12,70,151
5,江湾城路,121.51632306,31.32588382,4,12,71,152
5,江湾城路,121.51631015,31.32565764,4,12,72,153
5,江湾城路,121.51629749,31.325479619999996,4,12,73,154
5,江湾城路,121.51629438,31.32544065,4,12,75,155
5,江湾城路,121.51628718,31.32536418,4,12,76,156
5,江湾城路,121.51627725,31.32528696,4,12,77,157
5,江湾城路,121.51626732,31.32521521,4,12,78,158
5,江湾城路,121.51625019,31.3251097,4,12,79,159
5,江湾城路,121.51623579,31.32502975,4,12,80,160
5,江湾城路,121.51621891,31.32493839,4,12,81,161
5,江湾城路,121.51620749000001,31.32488004,4,12,82,162
5,江湾城路,121.51618266,31.32477006,4,12,83,163
5,江湾城路,121.51614765,31.32463946,4,12,84,164
5,江湾城路,121.51610346,31.32448851,4,12,85,165
5,江湾城路,121.51607019,31.32438424,4,12,86,166
5,江湾城路,121.51601011,31.32421789,4,12,87,167
5,江湾城路,121.51593761,31.32403616,4,12,88,168
5,江湾城路,121.51582812,31.32378689,4,12,89,169
5,江湾城路,121.51573378,31.32358628,4,12,90,170
5,江湾城路,121.51565334,31.323424660000004,4,12,91,171
5,江湾城路,121.51559301000002,31.3233102,4,12,92,172
5,江湾城路,121.51553342,31.32320717,4,12,93,173
5,江湾城路,121.51545943,31.32309445,4,12,94,174
5,江湾城路,121.51532735,31.32290328,4,12,95,175
5,江湾城路,121.51524145,31.322788580000005,4,12,96,176
5,江湾城路,121.51517541,31.32271161,4,12,97,177
5,江湾城路,121.5150601,31.32261688,4,12,98,178
5,江湾城路,121.51494551,31.32249958,4,12,100,179
5,江湾城路,121.51484471,31.32239729,4,12,101,180
5,江湾城路,121.51471709,31.32226968,4,12,102,181
5,江湾城路,121.51458054,31.32214356,4,12,103,182
5,江湾城路,121.51450060000002,31.322072549999998,4,12,104,183
5,江湾城路,121.51430843,31.32190968,4,12,105,184
5,江湾城路,121.51415699,31.32178853,4,12,106,185
5,江湾城路,121.514083,31.3217339,4,12,107,186
5,江湾城路,121.51388736,31.32159835,4,12,109,187
5,江湾城路,121.51364951,31.32143647,4,12,110,188
5,江湾城路,121.51333122,31.32122395,4,12,111,189
5,江湾城路,121.51243992,31.32062561,4,12,112,190
5,江湾城路,121.5120973,31.32039819,4,12,113,191
5,江湾城路,121.51188179999998,31.32026412,4,12,114,192
5,江湾城路,121.51172985,31.32016183,4,12,115,193
5,江湾城路,121.51162060999998,31.32008139,4,12,116,194
5,江湾城路,121.51157903,31.32004514,4,12,117,195
5,江湾城路,121.51153334000001,31.31998655,4,12,118,196
5,江湾城路,121.51147091,31.31989329,4,12,119,197
5,江湾城路,121.51130193,31.31971342,4,12,121,198
5,江湾城路,121.51117721000001,31.31928035,4,12,123,199
6,江湾城路,121.51809452000002,31.33234361,4,12,1,200
6,江湾城路,121.51798994,31.33223567,4,12,2,201
6,江湾城路,121.51788842,31.332116089999996,4,12,3,202
6,江湾城路,121.5178793,31.33210354,4,12,4,203
6,江湾城路,121.51787527000002,31.33215108,4,12,6,204
6,江湾城路,121.51787192,31.332178,4,12,7,205
6,江湾城路,121.517868,31.332203,4,12,8,206
6,江湾城路,121.51786,31.332234000000003,4,12,9,207
6,江湾城路,121.517845,31.332262,4,12,10,208
6,江湾城路,121.51782836999999,31.33228505,4,12,11,209
6,江湾城路,121.517805,31.332308,4,12,12,210
6,江湾城路,121.51776558999998,31.33232674,4,12,13,211
6,江湾城路,121.51772871,31.332337620000004,4,12,14,212
6,江湾城路,121.51765979,31.3323463,4,12,15,213
6,江湾城路,121.51757597,31.3323506,4,12,16,214
6,江湾城路,121.5174898,31.33237809,4,12,17,215
7,江湾城路,121.51809452000002,31.33234361,4,12,1,216
7,江湾城路,121.51798994,31.33223567,4,12,2,217
7,江湾城路,121.51788842,31.332116089999996,4,12,3,218
7,江湾城路,121.5178793,31.33210354,4,12,4,219
7,江湾城路,121.51767342,31.33184306,4,12,6,220
7,江湾城路,121.51751229,31.33162587,4,12,7,221
7,江湾城路,121.51732047000002,31.33133924,4,12,8,222
7,江湾城路,121.51716272,31.33106531,4,12,10,223
7,江湾城路,121.51704603,31.33084732,4,12,11,224
7,江湾城路,121.51699004,31.33073394,4,12,12,225
7,江湾城路,121.51696708,31.33068743,4,12,14,226
